NUM_ANP	ID_ANP	ID_DOF	NOMBRE	CATEGORIA DE MANEJO	ESTADOS	REGION	SUPERFICIE	SUPERFICIE TERRESTRE	SUPERFICIE MARINA	PRIMER DECRETO	ÚLTIMA PUBLICACIÓN DE DECRETO	PROGRAMA DE MANEJO	CERTIFICADO SINAP	DESIGNACIONES INTERNACIONALES
81	ANP00508081	5.8.02.081	Playa Piedra de Tlacoyunque	Santuario	Guerrero	Occidente y Pacífico Centro	98.014236	98.014236	0	1986-10-29	2022-12-24	2025-06-05		
82	ANP00508082	5.8.03.082	Playa Mexiquillo	Santuario	Michoacán	Occidente y Pacífico Centro	100.155659	100.155659	0	1986-10-29	2022-12-24			
83	ANP00508083	5.8.04.083	Playa Cuitzmala	Santuario	Jalisco	Occidente y Pacífico Centro	20.92927	20.92927	0	1986-10-29	2022-12-24	2025-06-16		
84	ANP00808084	8.8.01.084	Playa Chacahua	Santuario	Oaxaca	Frontera Sur, Istmo y Pacífico Sur	545.632873	545.632873	0	1986-10-29	2022-12-24	2025-04-15		Ramsar
85	ANP00208085	2.8.01.085	Playa Ceuta	Santuario	Sinaloa	Noroeste y Alto Golfo de California	503.093376	503.093376	0	1986-10-29	2022-12-24	2025-06-16		
86	ANP00808086	8.8.02.086	Playa Tierra Colorada	Santuario	Guerrero	Frontera Sur, Istmo y Pacífico Sur	263.720446	263.720446	0	1986-10-29	2022-12-24	2025-06-05		
87	ANP00908087	9.8.01.087	Playa Ría Lagartos	Santuario	Yucatán	Península de Yucatán y Caribe Mexicano	827.359171	827.359171	0	1986-10-29	2022-12-24	2025-04-10		Ramsar; UNESCO Reserva de la Biosfera MAB
88	ANP00908088	9.8.02.088	Playas de Isla Contoy	Santuario	Quintana Roo	Península de Yucatán y Caribe Mexicano	10.748101	10.748101	0	1986-10-29	2022-12-24	2025-06-16		Ramsar
89	ANP00208089	2.8.02.089	Playa Huizache Caimanero	Santuario	Sinaloa	Noroeste y Alto Golfo de California	451.488263	451.488263	0	1986-10-29	2022-12-24	2025-06-05		
90	ANP00508090	5.8.05.090	Playa El Tecuán	Santuario	Jalisco	Occidente y Pacífico Centro	52.305303	52.305303	0	1986-10-29	2022-12-24	2025-04-08		
91	ANP00508091	5.8.06.091	Playa Mismaloya	Santuario	Jalisco	Occidente y Pacífico Centro	810.667298	810.667298	0	1986-10-29	2022-12-24	2025-06-05		
92	ANP00508092	5.8.07.092	Playa Maruata	Santuario	Michoacán	Occidente y Pacífico Centro	12.429768	12.429768	0	1986-10-29	2022-12-24			
93	ANP00508093	5.8.08.093	Playa Colola	Santuario	Michoacán	Occidente y Pacífico Centro	77.049391	77.049391	0	1986-10-29	2022-12-24			
94	ANP00808094	8.8.03.094	Playa Puerto Arista	Santuario	Chiapas	Frontera Sur, Istmo y Pacífico Sur	726.481025	726.481025	0	1986-10-29	2022-12-24			
95	ANP00808095	8.8.04.095	Playa Escobilla	Santuario	Oaxaca	Frontera Sur, Istmo y Pacífico Sur	263.130953	263.130953	0	1986-10-29	2022-12-24	2025-06-16		
96	ANP00501096	5.1.01.096	Sierra de Manantlán	Reserva de la Biosfera	Jalisco y Colima	Occidente y Pacífico Centro	139577.125	139577.125	0	1987-03-23	1987-03-23	2007-11-17	SINAP 019	UNESCO Reserva de la Biosfera MAB
97	ANP00903097	9.3.02.097	Dzibilchantún	Parque Nacional	Yucatán	Península de Yucatán y Caribe Mexicano	539.439268	539.439268	0	1987-04-14	1987-04-14	2015-10-29		
98	ANP00506098	5.6.03.098	Las Huertas	Área de Protección de Recursos Naturales	Colima	Occidente y Pacífico Centro	167.01	167.01	0	1988-06-23	1988-06-23			
99	ANP00607099	6.7.02.099	Corredor Biológico Chichinautzin	Área de Protección de Flora y Fauna	Morelos	Centro y Eje Neovolcánico	37302.40625	37302.40625	0	1988-11-30	1988-11-30		SINAP 031	
100	ANP00101100	1.1.02.100	El Vizcaíno	Reserva de la Biosfera	Baja California Sur	Península de Baja California y Pacífico Norte	2546790.25	2259002.952	287787.2983	1988-11-30	1988-11-30	2000-09-01	SINAP 021	Ramsar; UNESCO Reserva de la Biosfera MAB; UNESCO Patrimonio Mundial Natural (Santuario de Ballenas)
